Category,Film,Nominee,Winner,Year,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Nom_BAFTA,Win_BAFTA,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Nom_Oscar_bestfilm,Birthyear,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75],Age_[75+],Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_thriller,Genre_war,Genre_sport,Genre_family,Genre_filmnoir,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice,Nowin_SAG_acting,Win_SAG_acting,Nonom_SAG_acting,Nom_SAG_acting,Nowin_SAG_bestcast,Win_SAG_bestcast,Nonom_SAG_bestcast,Nom_SAG_bestcast,Female,Total Nominations Other Shows,Total Wins Other Shows,Win_GoldenGlobe_bestdirector,Win_DGA,Nom_GoldenGlobe_bestdirector,Nom_DGA,Oscarstat_previouswins_bestdirector,Oscarstat_previousnominations_bestdirector,Nom_Oscar_bestdirector,Nom_GoldenGlobe_bestcomedy,Nom_GoldenGlobe_bestdrama,Win_GoldenGlobe_bestcomedy,Win_GoldenGlobe_bestdrama,Nowin_PGA,Win_PGA,Nonom_PGA,Nom_PGA,Unnamed: 0,year_ceremony,category,film,winner,year_film,domestic_gross,international_gross,budget,net_revenue
Actor,American Beauty,Kevin Spacey,1,2000,8.4,10/1/99,93,88,8,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1959,41,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,5,3,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Insider,Russell Crowe,0,2000,7.9,11/5/99,90,96,7,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1964,36,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Straight Story,Richard Farnsworth,0,2000,8,11/3/99,91,96,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1920,80,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,G,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Sweet and Lowdown,Sean Penn,0,2000,7.3,3/10/00,81,78,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1960,40,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Hurricane,Denzel Washington,0,2000,7.6,1/14/00,87,83,4,1,0,0,0,0,0,0,0,1,1,0,0,3,1,1,1,0,1954,46,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Gladiator,Russell Crowe,1,2001,8.5,5/5/00,87,76,12,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1964,37,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Before Night Falls,Javier Bardem,0,2001,7.3,2/23/01,84,73,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1969,32,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Cast Away,Tom Hanks,0,2001,7.7,12/22/00,83,90,2,0,0,0,1,1,0,0,0,1,1,0,0,4,2,1,1,0,1956,45,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Pollock,Ed Harris,0,2001,7,3/23/01,74,81,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1950,51,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Quills,Geoffrey Rush,0,2001,7.4,12/25/00,83,75,3,0,0,0,1,1,0,0,0,1,0,0,0,2,1,1,1,0,1951,50,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Training Day,Denzel Washington,1,2002,7.7,10/5/01,89,72,2,0,0,0,1,0,0,0,0,1,0,0,0,4,1,1,1,0,1954,48,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,A Beautiful Mind,Russell Crowe,0,2002,8.2,1/4/02,93,75,8,1,0,0,0,1,1,0,0,1,1,0,0,2,1,1,1,1,1964,38,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,I Am Sam,Sean Penn,0,2002,7.6,1/25/02,87,34,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1960,42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Ali,Will Smith,0,2002,6.8,12/25/01,65,67,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1968,34,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,In the Bedroom,Tom Wilkinson,0,2002,7.5,2/8/02,81,93,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1948,54,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Pianist,Adrien Brody,1,2003,8.5,3/28/03,95,96,7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1973,30,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Adaptation.,Nicolas Cage,0,2003,7.7,2/14/03,85,91,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1964,39,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,The Quiet American,Michael Caine,0,2003,7.1,3/7/03,73,87,1,1,0,0,0,1,0,0,0,1,0,0,0,5,2,1,1,0,1933,70,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Gangs of New York,Daniel Day-Lewis,0,2003,7.5,12/20/02,81,75,9,0,0,0,1,1,1,0,0,1,0,0,0,2,1,1,1,1,1957,46,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,About Schmidt,Jack Nicholson,0,2003,7.2,1/3/03,74,85,2,1,0,0,0,1,0,0,0,1,1,0,0,11,3,1,1,0,1937,66,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Mystic River,Sean Penn,1,2004,8,10/15/03,89,87,6,0,0,0,1,0,0,0,0,1,1,0,0,3,0,1,0,1,1960,44,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,0,2004,8,7/9/03,86,79,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1963,41,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,House of Sand and Fog,Ben Kingsley,0,2004,7.6,1/9/04,83,74,3,1,0,0,0,0,0,0,0,1,0,0,0,3,1,1,1,0,1943,61,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
Actor,Cold Mountain,Jude Law,0,2004,7.2,12/25/03,77,71,5,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1972,32,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
